week,letter,day,classes,room,lesson,notes,hwk,event,time,break,lunch
6,B,FRI,10CS,G4,5,COVER: Copy and adapt code to make a python calculator, , ,1355  1510, , 
7,A,MON,11CS,G4,1,"COVER: Wireless Networks - Week 53, lesson posted on Go4", ,briefing,0850  0955, , 
7,A,MON,10C3,B8,2,COVER: CP2e Newtons Third Law - lesson posted on Go4, , ,0955  1100, , 
7,A,MON,7X2.Ph,B6,3,"P1 1.4 Forces at a Distance, Activate 1 p118-119 - Do tasks A,B,C and Qu 1,2,3 and 4 (with illustrations for 4)", ,break duty,1100  1220,11:00, 
7,A,MON,8X1.Ph,B8,4,COVER: Continue adding to Powerpoint already begun by including information from the Kerboodle checkpoint document re-posted on Go4, , ,1220  1355, ,12:50
7,A,MON,11C2,B8,5,"COVER: USe the graphskills.PDF file posted on Go4. Choose a few questions to work through. Attempt them, before reviewing their answers with the answers and the exeminer comments at the end of the document",*, ,1355  1510, , 
7,A,TUE,10T2,B5,1,COVER: Newtons Third Law - lesson posted on Go4, , ,0850  0955, , 
7,A,TUE,PPA,-,2,..., , ,0955  1100, , 
7,A,TUE,PPA,-,3,..., , ,1100  1220, , 
7,A,TUE,11T2,B8,4,"COVER: USe the graphskills.PDF file posted on Go4. Choose a few questions to work through. Attempt them, before reviewing their nswers with the answers and the examiners comments at the end of the document", , ,1220  1355, ,13:25
7,A,TUE,7X1.Ph,B8,5,"P1 1.4 Forces at a Distance, Activate 1 p118-119 - Do tasks A,B,C and Qu 1,2,3 and 4 (with illustrations for 4)", , ,1355  1510, , 
7,A,WED,7Y1.Ph,B8,1,COVER: Y7 forces - drag : Lesson posted on Go4, , ,0850  0955, , 
7,A,WED,11T2,B8,2,COVER: Exam technique - Exemplar GCSE answers posted on Go4, , ,0955  1100, , 
7,A,WED,PPA,B8,3,..., , ,1100  1220, , 
7,A,WED,10T2,B3,4,COVER: Introduction to momentum - lesson posted on Go4 but class in B3 so HTML file also attached to email for cover teacher to use on the board or as a worksheet, , ,1220  1355, ,12:50
7,A,WED,9Y2.Ph,B3,5,COVER: P2 3.3 Pressure in Gases - HTML file attached to email for teacher to use on board or as worksheet,*, ,1355  1510, , 
7,A,THU,10CS,G4,1,COVER: IF-ELSE lesson posted on Go4 lesson 1/2, ,briefing,0850  0955, , 
